Bundle ID	Bundle Path	Sandbox Path
com.apple.MobileSMS	/Applications/MobileSMS.app	/private/var/mobile/Containers/Data/Application/CE05C4F4-51EA-49D6-A824-96E40BFBEA33
com.apple.purplebuddy	/Applications/Setup.app	
com.apple.Diagnostics	/Applications/Diagnostics.app	/private/var/mobile/Containers/Data/Application/FBCA9097-2A98-4CB2-B3A4-ACFAAF636E03
com.apple.Photos.PhotosUIService	/Applications/PhotosUIService.app	/private/var/mobile/Containers/Data/Application/1F3394EA-DE32-49CE-961E-3AD075A62454
com.apple.dt.XcodePreviews	/Applications/Xcode Previews.app	/private/var/mobile/Containers/Data/Application/5FCF42D4-3664-42F5-9611-E109CFF76269
com.apple.Health	/Applications/Health.app	/private/var/mobile/Containers/Data/Application/094D161F-1DE9-4F6B-A727-3EF57A4A86EA
com.apple.datadetectors.DDActionsService	/Applications/DDActionsService.app	/private/var/mobile/Containers/Data/Application/E963857F-1AD9-46C6-957D-E8EBB3190784
com.apple.TVRemoteUIService	/Applications/Apple TV Remote.app	/private/var/mobile/Containers/Data/Application/B7D75B1F-58BE-4986-AEE7-212CC017CCC0
com.apple.Preferences	/Applications/Preferences.app	
com.apple.CarPlaySettings	/Applications/CarPlaySettings.app	/private/var/mobile/Containers/Data/Application/2DB91F9B-384C-4016-9CCD-35343077ABE5
com.apple.Home.HomeUIService	/Applications/HomeUIService.app	
com.apple.Magnifier	/Applications/Magnifier.app	/private/var/mobile/Containers/Data/Application/45599739-E896-4DDF-B609-F3203AA79F6E
com.apple.HealthENLauncher	/Applications/HealthENLauncher.app	/private/var/mobile/Containers/Data/Application/757D77EC-25E7-4B44-98DA-1F2AEF800B0E
com.apple.BarcodeScanner	/Applications/BarcodeScanner.app	/private/var/mobile/Containers/Data/Application/771EAE89-2782-4A40-A7E4-C1B7DDC97F6B
com.apple.Passbook	/Applications/Passbook.app	/private/var/mobile/Containers/Data/Application/D665EC75-BBC7-4D81-A5BB-2BAC507F1511
com.apple.AMSEngagementViewService	/Applications/AMSEngagementViewService.app	/private/var/mobile/Containers/Data/Application/3DB150A3-467C-413C-9360-DCCABD46FCE5
com.apple.siri	/Applications/Siri.app	/private/var/mobile/Containers/Data/Application/A2CA1F5E-85BE-48FF-A1FB-8595D0369E22
com.apple.FTMInternal	/Applications/FTMInternal-4.app	/private/var/mobile/Containers/Data/Application/FD4B080D-8D7A-48C6-B0F4-15E8CC2C2136
com.apple.AppStore	/Applications/AppStore.app	/private/var/mobile/Containers/Data/Application/00BC1A50-697E-48A1-A057-B48D3FB65912
com.apple.social.SLYahooAuth	/Applications/SLYahooAuth.app	
com.apple.ScreenTimeUnlock	/Applications/ScreenTimeUnlock.app	/private/var/mobile/Containers/Data/Application/1E771A53-8FD3-40D5-9414-E76193B7C388
com.apple.mobiletimer	/Applications/MobileTimer.app	
com.apple.iad.iAdOptOut	/Applications/iAdOptOut.app	/private/var/mobile/Containers/Data/Application/05841EA5-8B6A-448F-AB65-4E7F1E9A8A6D
com.apple.shortcuts.runtime	/Applications/ShortcutsViewService.app	/private/var/mobile/Containers/Data/Application/098C9454-4CE5-4939-8454-4F4FD457C14B
com.apple.mobilephone	/Applications/MobilePhone.app	/private/var/mobile/Containers/Data/Application/7F488647-23B7-465A-88BA-043C659863A3
com.apple.findmy	/Applications/FindMy.app	/private/var/mobile/Containers/Data/Application/7F4855B9-3FBA-4DA9-8C35-95B242CA3B7F
com.apple.mobilesafari	/Applications/MobileSafari.app	/private/var/mobile/Containers/Data/Application/EF9AB533-69C0-482E-9E0B-9C90E37EE377
com.apple.WebSheet	/Applications/WebSheet.app	/private/var/mobile/Containers/Data/Application/B4E80190-D228-4090-95C2-4D1D724C7721
com.apple.StoreDemoViewService	/Applications/StoreDemoViewService.app	/private/var/mobile/Containers/Data/Application/F0C0EB52-70E8-4580-AE88-84C32CBF2266
com.apple.carkit.DNDBuddy	/Applications/DNDBuddy.app	/private/var/mobile/Containers/Data/Application/6836551A-1462-48FC-9A56-6761B1954B04
com.apple.appleseed.FeedbackAssistant	/Applications/Feedback Assistant iOS.app	/private/var/mobile/Containers/Data/Application/76BFB677-CFC5-4AFE-8D59-64B76B8B548B
