Visit Timestamp	Title	URL	Visit Count	Redirect Source	Redirect Destination	Visit ID	Origin
2023-07-09 06:46:45		"https://adclick.g.doubleclick.net/aclk?fbs_aeid=-
8839751520710506496&sa=l&ai=COTIUzFeqZMapJ8XAvcAP57WAIMPF75lx-6Wl6MoRpYyV6cI8EAEg5d6-
PGClqKqAqAGgAZGBovsCyAEJqQJ4J2mUvHKmPqgDAcgDigSYBAiqBJQCT9A0RPUBX8W4_Y3VbDfGNq3eIo9cc7YOilzKEL3Mre1m
aH3XaPAOO8Nqovzhd3cRYlrn3Sr8V-
UwKW58EJQSWvESQNs7gNzoGE1FaQBQtXdKElCuzfTkxPc3z9F_55JMgxTTHVOOUoBGJDU6_5URbUum71XnuicfJw78UNlCyuobgZ
1FS04ThPMp6LdF6-
6FQN_NO3OXrjkWJO1LJYgHZyRlQPTDr1WhzXTNBNwNIO_BUHFwyoAIF2PNbr_uuOTOZw9pqE3P_fgwQQgHM9-
OMQiuJ3PGYWvi3er1ExN-LjFF98ssWmjcx0TRzx-
cBVD6hKB4S3-IQY_M0LwWEJwIidnZaNLR4bkeVyzujwQTDZ9phg50wAT-n6-csASIBeOPyZ1LwAUF-gUGCCUQARgAkAYBoAYu2AY
CgAfX_t2EAZgHAagH9JmxAqgH5pqxAqgHjs4bqAeT2BuoB-6WsQKoB_6esQKoB6SjsQKoB6a-
G6gH89EbqAeW2BuoB6qbsQKoB4OtsQKoB_-esQKoB9-
fsQLYBwCgCOSJPbAIArgIAcAIAdIIHAiA4YCABBABGF8yAooGOgeAwICAgIBASL39wTqACgKQCwOYCwHICwGADAGiDAgqBgoEw7C
xArgMAdIMAggB4BK77JGjvf6p_Hu4E-
4D2BMLghQZGhdtb2JpbGVhcHA6OjEtMTIzMjI4MjIzMdAVAZgWAfgWAYAXAboXAhAB&num=1&cid=CAQSGwBpAlJWxJJcMwxthk-
_eMNenp0YRBbVGYHUURgB&sig=AOD64_0kPJvbQmmjC4sE9mQLqnoSO0Y3vg&ctype=5&client=ca-app-
pub-4698314122274937&nb=9&nx=43&ny=35&mb=1&nb=9&ms=hcasFFNhq8s-kaIWCE-NquyN79D7qQ12UqhemUpNYt38a1KeD
I7b0M4vh6-omYA7KU__ixRVdffAlDJv0TyCIWNQvtMBoDI3Nu72k8sOSbVA8-
dBc8X2KSusEr_6HciI63QlrVgbek_60ivcZpJt8IE4z33YMvaZ8nXneAiHQu0VFHglwq2lz6T3Pa1coIjvAO3jQDhmireb1MW3bE
Tv7LeH-WkazfNB7rA77GMD1omcP417UmdHE2FEa_sQeg90nVCeNryESbxOmR5Xar9qbsf_uZ2XJLZRvfY-
y1SEpaNx1fejd7EaACst9DKorM_5wHw2OBwdQKHuzSf4bMr_Kg&adurl=https://gutterguard.direct/products/premium
-stainless-steel-ember-guard-corrugated-iron-custom-orb-gutter-guard-kit%3Fcurrency%3DAUD%26variant%
3D32562756124750%26utm_medium%3Dcpc%26utm_source%3Dgoogle%26utm_campaign%3DGoogle%2520Shopping%26wbr
aid%3DCjsKCQjwkqSlBhDlARIqAOPAqcZZzRyEiIOIoVRyaBApkUNlm1JdRPclrW9x1I_9Z1RnHhu8bUluGgJBrw"	1		"https://gutterguard.direct/products/premium-stainless-steel-ember-guard-corrugated-iron-custom-orb-
gutter-guard-kit?currency=AUD&variant=32562756124750&utm_medium=cpc&utm_source=google&utm_campaign=G
oogle%20Shopping&wbraid=ClAKCQjwkqSlBhDlARI_AOPAqca7-Ha9PEDUzikY6ERH6MfW0W_35gO59_Kx-
LG2pQKOfrgkLxGvZjFthc0FI3FaE88gJL0vTOIF1-TgGgJ2Yg"	1	Local Device
2023-07-09 06:46:45	1.8mm Premium Stainless Steel Ember Guard - Corrugated Iron/Custom Orb – Gutter Guard Direct 2U	"https://gutterguard.direct/products/premium-stainless-steel-ember-guard-corrugated-iron-custom-orb-
gutter-guard-kit?currency=AUD&variant=32562756124750&utm_medium=cpc&utm_source=google&utm_campaign=G
oogle%20Shopping&wbraid=ClAKCQjwkqSlBhDlARI_AOPAqca7-Ha9PEDUzikY6ERH6MfW0W_35gO59_Kx-
LG2pQKOfrgkLxGvZjFthc0FI3FaE88gJL0vTOIF1-TgGgJ2Yg"	2	"https://adclick.g.doubleclick.net/aclk?fbs_aeid=-
8839751520710506496&sa=l&ai=COTIUzFeqZMapJ8XAvcAP57WAIMPF75lx-6Wl6MoRpYyV6cI8EAEg5d6-
PGClqKqAqAGgAZGBovsCyAEJqQJ4J2mUvHKmPqgDAcgDigSYBAiqBJQCT9A0RPUBX8W4_Y3VbDfGNq3eIo9cc7YOilzKEL3Mre1m
aH3XaPAOO8Nqovzhd3cRYlrn3Sr8V-
UwKW58EJQSWvESQNs7gNzoGE1FaQBQtXdKElCuzfTkxPc3z9F_55JMgxTTHVOOUoBGJDU6_5URbUum71XnuicfJw78UNlCyuobgZ
1FS04ThPMp6LdF6-
6FQN_NO3OXrjkWJO1LJYgHZyRlQPTDr1WhzXTNBNwNIO_BUHFwyoAIF2PNbr_uuOTOZw9pqE3P_fgwQQgHM9-
OMQiuJ3PGYWvi3er1ExN-LjFF98ssWmjcx0TRzx-
cBVD6hKB4S3-IQY_M0LwWEJwIidnZaNLR4bkeVyzujwQTDZ9phg50wAT-n6-csASIBeOPyZ1LwAUF-gUGCCUQARgAkAYBoAYu2AY
CgAfX_t2EAZgHAagH9JmxAqgH5pqxAqgHjs4bqAeT2BuoB-6WsQKoB_6esQKoB6SjsQKoB6a-
G6gH89EbqAeW2BuoB6qbsQKoB4OtsQKoB_-esQKoB9-
fsQLYBwCgCOSJPbAIArgIAcAIAdIIHAiA4YCABBABGF8yAooGOgeAwICAgIBASL39wTqACgKQCwOYCwHICwGADAGiDAgqBgoEw7C
xArgMAdIMAggB4BK77JGjvf6p_Hu4E-
4D2BMLghQZGhdtb2JpbGVhcHA6OjEtMTIzMjI4MjIzMdAVAZgWAfgWAYAXAboXAhAB&num=1&cid=CAQSGwBpAlJWxJJcMwxthk-
_eMNenp0YRBbVGYHUURgB&sig=AOD64_0kPJvbQmmjC4sE9mQLqnoSO0Y3vg&ctype=5&client=ca-app-
pub-4698314122274937&nb=9&nx=43&ny=35&mb=1&nb=9&ms=hcasFFNhq8s-kaIWCE-NquyN79D7qQ12UqhemUpNYt38a1KeD
I7b0M4vh6-omYA7KU__ixRVdffAlDJv0TyCIWNQvtMBoDI3Nu72k8sOSbVA8-
dBc8X2KSusEr_6HciI63QlrVgbek_60ivcZpJt8IE4z33YMvaZ8nXneAiHQu0VFHglwq2lz6T3Pa1coIjvAO3jQDhmireb1MW3bE
Tv7LeH-WkazfNB7rA77GMD1omcP417UmdHE2FEa_sQeg90nVCeNryESbxOmR5Xar9qbsf_uZ2XJLZRvfY-
y1SEpaNx1fejd7EaACst9DKorM_5wHw2OBwdQKHuzSf4bMr_Kg&adurl=https://gutterguard.direct/products/premium
-stainless-steel-ember-guard-corrugated-iron-custom-orb-gutter-guard-kit%3Fcurrency%3DAUD%26variant%
3D32562756124750%26utm_medium%3Dcpc%26utm_source%3Dgoogle%26utm_campaign%3DGoogle%2520Shopping%26wbr
aid%3DCjsKCQjwkqSlBhDlARIqAOPAqcZZzRyEiIOIoVRyaBApkUNlm1JdRPclrW9x1I_9Z1RnHhu8bUluGgJBrw"		2	Local Device
2023-07-09 09:15:58	1.8mm Premium Stainless Steel Ember Guard - Corrugated Iron/Custom Orb – Gutter Guard Direct 2U	"https://gutterguard.direct/products/premium-stainless-steel-ember-guard-corrugated-iron-custom-orb-
gutter-guard-kit?currency=AUD&variant=32562756124750&utm_medium=cpc&utm_source=google&utm_campaign=G
oogle%20Shopping&wbraid=ClAKCQjwkqSlBhDlARI_AOPAqca7-Ha9PEDUzikY6ERH6MfW0W_35gO59_Kx-
LG2pQKOfrgkLxGvZjFthc0FI3FaE88gJL0vTOIF1-TgGgJ2Yg"	2			3	Local Device
2023-07-09 09:16:04	ozbar hi m - Google Search	https://www.google.com.au/search?q=ozbar+hi+m&ie=UTF-8&oe=UTF-8&hl=en-au&client=safari	2			4	Local Device
2023-07-09 09:16:05	ozbar hi m - Google Search	https://www.google.com.au/search?q=ozbar+hi+m&ie=UTF-8&oe=UTF-8&hl=en-au&client=safari	2			5	Local Device
2023-07-09 09:16:05	Deals, Coupons, Vouchers, Discounts and Freebies - OzBargain	https://www.ozbargain.com.au/	1			6	Local Device
2023-07-09 09:16:08	Deals, Coupons, Vouchers, Discounts and Freebies - OzBargain	https://www.ozbargain.com.au/node/786512	3			7	Local Device
2023-07-09 09:16:27	Citizen Mens Eco-Drive Stainless Steel Watch BM7551-84X	https://starbuy.com.au/citizen-eco-drive-mens-watch-bm7551-84x/	1			8	Local Device
2023-07-09 09:16:54	Citizen Eco-Drive Aviator Style Watch (Black, Blue or Green Dial) $175.00 Delivered @ Starbuy - OzBargain	https://www.ozbargain.com.au/node/786512	3			9	Local Device
2023-07-09 09:17:39	Deals, Coupons, Vouchers, Discounts and Freebies - OzBargain	https://www.ozbargain.com.au/node/786216	1			10	Local Device
